GSSyear                    ,Idnum,Ballot used for interview,prestige
2012,444,Ballot c,35
2012,445,Ballot c,28
2012,446,Ballot b,35
2012,447,Ballot a,24
2012,448,Ballot c,35
2012,449,Ballot a,40
2012,450,Ballot b,35
2012,451,Ballot b,50
2012,452,Ballot c,49
2012,453,Ballot a,35
2012,454,Ballot b,50
2012,455,Ballot c,52
2012,456,Ballot a,64
2012,457,Ballot c,47
2012,458,Ballot b,27
2012,459,Ballot c,35
2012,460,Ballot b,36
2012,461,Ballot a,60
2012,462,Ballot b,64
2012,463,Ballot c,73
2012,464,Ballot b,60
2012,465,Ballot c,65
2012,466,Ballot c,47
2012,467,Ballot a,64
2012,468,Ballot b,31
2012,469,Ballot a,35
2012,470,Ballot c,42
2012,471,Ballot a,80
2012,472,Ballot b,70
2012,473,Ballot b,35
2012,474,Ballot a,51
2012,475,Ballot c,24
2012,476,Ballot b,48
2012,477,Ballot a,35
2012,478,Ballot c,45
2012,479,Ballot a,22
2012,480,Ballot c,25
2012,481,Ballot a,48
2012,482,Ballot b,43
2012,483,Ballot c,48
2012,484,Ballot b,35
2012,485,Ballot b,63
2012,486,Ballot a,24
2012,487,Ballot b,0
2012,488,Ballot b,51
2012,489,Ballot c,48
2012,490,Ballot a,47
2012,491,Ballot b,35
2012,492,Ballot a,52
2012,493,Ballot b,32
2012,494,Ballot b,61
2012,495,Ballot b,39
2012,496,Ballot a,34
2012,497,Ballot b,35
2012,498,Ballot c,44
2012,499,Ballot b,25
2012,500,Ballot c,28
2012,501,Ballot b,39
2012,502,Ballot c,50
2012,503,Ballot a,31
2012,504,Ballot c,47
2012,505,Ballot a,40
2012,506,Ballot b,47
2012,507,Ballot a,35
2012,508,Ballot c,74
2012,509,Ballot a,65
2012,510,Ballot c,45
2012,511,Ballot b,31
2012,512,Ballot a,44
2012,513,Ballot a,38
2012,514,Ballot c,45
2012,515,Ballot a,53
2012,516,Ballot c,45
2012,517,Ballot b,31
2012,518,Ballot c,44
2012,519,Ballot a,44
2012,520,Ballot c,0
2012,521,Ballot b,31
2012,522,Ballot c,39
2012,523,Ballot c,35
2012,524,Ballot c,37
2012,525,Ballot a,46
2012,526,Ballot b,35
2012,527,Ballot c,35
2012,528,Ballot b,51
2012,529,Ballot c,0
2012,530,Ballot b,64
2012,531,Ballot c,48
2012,532,Ballot b,45
2012,533,Ballot c,48
2012,534,Ballot b,34
2012,535,Ballot c,28
2012,536,Ballot c,44
2012,537,Ballot b,24
2012,538,Ballot a,47
2012,539,Ballot c,64
2012,540,Ballot a,64
2012,541,Ballot c,45
2012,542,Ballot a,18
2012,543,Ballot a,50
2012,544,Ballot b,48
2012,545,Ballot c,64
2012,546,Ballot a,43
2012,547,Ballot b,49
2012,548,Ballot c,24
2012,549,Ballot b,43
2012,550,Ballot c,31
2012,551,Ballot b,42
2012,552,Ballot b,73
2012,553,Ballot c,61
2012,554,Ballot b,35
2012,555,Ballot a,36
2012,556,Ballot b,35
2012,557,Ballot a,37
2012,558,Ballot b,25
2012,559,Ballot c,53
2012,560,Ballot a,25
2012,561,Ballot a,38
2012,562,Ballot a,60
2012,563,Ballot c,48
2012,564,Ballot c,60
2012,565,Ballot c,56
2012,566,Ballot a,28
2012,567,Ballot b,61
2012,568,Ballot a,32
2012,569,Ballot c,25
2012,570,Ballot c,50
2012,571,Ballot a,47
2012,572,Ballot a,47
2012,573,Ballot b,60
2012,574,Ballot c,53
2012,575,Ballot a,64
2012,576,Ballot c,31
2012,577,Ballot a,48
2012,578,Ballot b,26
2012,579,Ballot a,38
2012,580,Ballot b,25
2012,581,Ballot a,32
2012,582,Ballot b,57
2012,583,Ballot c,72
2012,584,Ballot b,50
2012,585,Ballot c,60
2012,586,Ballot c,50
2012,587,Ballot b,64
2012,588,Ballot c,50
2012,589,Ballot b,0
2012,590,Ballot c,46
2012,591,Ballot c,66
2012,592,Ballot b,33
2012,593,Ballot a,35
2012,594,Ballot c,48
2012,595,Ballot a,40
2012,596,Ballot a,64
2012,597,Ballot b,36
2012,598,Ballot a,64
2012,599,Ballot b,53
2012,600,Ballot a,52
2012,601,Ballot c,48
2012,602,Ballot b,63
2012,603,Ballot c,45
2012,604,Ballot a,53
2012,605,Ballot b,65
2012,606,Ballot a,38
2012,607,Ballot b,40
2012,608,Ballot a,38
2012,609,Ballot b,47
2012,610,Ballot a,64
2012,611,Ballot b,61
2012,612,Ballot a,73
2012,613,Ballot c,55
2012,614,Ballot b,44
2012,615,Ballot b,25
2012,616,Ballot a,38
2012,617,Ballot a,45
2012,618,Ballot b,56
